MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,Lat,Lon,PFG_days,SFG_days,NFG_days,PFG_dewpoint_temperature_2m,PFG_lake_ice_depth,PFG_skin_reservoir_content,PFG_snow_albedo,PFG_snow_depth,PFG_soil_temperature_level_1,PFG_soil_temperature_level_2,PFG_soil_temperature_level_3,PFG_soil_temperature_level_4,PFG_surface_latent_heat_flux_sum,PFG_surface_pressure,PFG_surface_solar_radiation_downwards_sum,PFG_temperature_2m,PFG_total_precipitation_sum,PFG_u_component_of_wind_10m,PFG_v_component_of_wind_10m,SFG_dewpoint_temperature_2m,SFG_lake_ice_depth,SFG_skin_reservoir_content,SFG_snow_albedo,SFG_snow_depth,SFG_soil_temperature_level_1,SFG_soil_temperature_level_2,SFG_soil_temperature_level_3,SFG_soil_temperature_level_4,SFG_surface_latent_heat_flux_sum,SFG_surface_pressure,SFG_surface_solar_radiation_downwards_sum,SFG_temperature_2m,SFG_total_precipitation_sum,SFG_u_component_of_wind_10m,SFG_v_component_of_wind_10m,NFG_dewpoint_temperature_2m,NFG_lake_ice_depth,NFG_skin_reservoir_content,NFG_snow_albedo,NFG_snow_depth,NFG_soil_temperature_level_1,NFG_soil_temperature_level_2,NFG_soil_temperature_level_3,NFG_soil_temperature_level_4,NFG_surface_latent_heat_flux_sum,NFG_surface_pressure,NFG_surface_solar_radiation_downwards_sum,NFG_temperature_2m,NFG_total_precipitation_sum,NFG_u_component_of_wind_10m,NFG_v_component_of_wind_10m
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,120.0,55.7507,160.2896,205,262,103,256.82684691824574,0.9256109595298767,0.0002499794814644789,0.8159527074030748,1.316556505652947,271.8648210913186,272.17475373803103,273.15817712303084,274.969224061423,-196526.36097560974,86406.7749015498,8061623.204672018,260.64701305792585,0.0023854820933742185,-0.796593636419715,-0.7164759604911491,259.7325711917635,0.8818111419677734,0.00024629163415984024,0.7879285822994534,1.1895828052938135,272.24901048403063,272.49570349821914,273.33018168723584,274.9631936192208,-370275.6335877863,86602.11546050025,10343651.694033092,263.6068487361491,0.0024120798670143923,-0.6830755590482519,-0.6235095373243472,279.7215803078463,0.023757366463541985,8.286222285051564e-05,0.8154538972092291,0.005008833308050162,284.4255606271688,283.4514274165083,280.4906962249657,275.3725128420734,-5232515.689320388,87496.16982864334,13995789.281553399,282.6473554345782,0.0045066714818916475,0.07000366229455442,-0.0126584891748274
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,107.0,55.7507,160.2896,192,265,99,254.1085625390211,0.9167145490646362,0.00022748648835760042,0.8002852615382937,1.2025754716661232,270.41344934701925,270.7945132818488,272.0167251063718,274.16112395127635,-117459.90625,86370.36556582981,7895862.820922852,258.6782134009731,0.0018359477789171759,-0.6373980368177093,-0.7239725413835713,258.55087065306844,0.8696749210357666,0.0002145860695614005,0.7645861893329979,1.0906816590507082,271.0659164500686,271.39018657852273,272.41730478394715,274.1812621638458,-420854.4528301887,86610.85287870975,10340711.937883254,262.82520246685675,0.001845695690733365,-0.4891064318470982,-0.5867603099571087,279.33748201569335,0.030855968594551086,6.349233013612254e-05,0.7794903165563594,0.022355718644781145,284.4645405008335,283.24260280108206,279.7109175852252,274.04925913441457,-5331517.232323232,87584.05887159353,15668130.474116161,283.1274310346403,0.0025203014923439447,0.255704002749639,0.013091448180201871
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,130.0,55.7507,160.2896,194,269,95,256.0366031574629,0.9283435940742493,0.00024127295157548895,0.8351465281342317,1.1774384279021697,270.98870564818,271.2440517858131,272.063432972046,273.7212057900184,-129211.77319587629,86316.86631413098,7624191.779155928,260.2158342079609,0.0026373028980836875,-1.0159708609695701,-0.839878025128669,259.756513886292,0.836520254611969,0.00022045039609905505,0.7891547394064724,0.9967975829170546,271.59070069077893,271.79892850306254,272.47282920894105,273.8236166139814,-527875.7100371748,86537.1021984152,10156584.288583295,263.82027668817057,0.002393071850588377,-0.7350055874501911,-0.7267248369060931,278.6053357509145,0.05832599848508835,0.00010227419828113758,0.7899518454284,0.027950675027412268,282.9472151304545,281.9049471804969,278.7086935946815,273.5390490080181,-4888659.936842105,87286.10337513704,13969119.12368421,281.55530477824954,0.004423873788950099,0.08949827227676123,-0.06684415465907048
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,113.0,55.7507,160.2896,209,269,96,255.97807505180216,0.9923377633094788,0.00021216322621850494,0.819297564371922,1.1009760952452157,270.79281592178955,271.11451647878647,272.1658426068806,273.9995162969951,-132382.88038277513,86110.39625931397,8223663.373338909,260.0937266372606,0.0021403578454286445,-0.6222445253740276,-0.8492815646638525,259.2670341382979,0.9033774733543396,0.00020237591999318667,0.7764669014914185,0.9766030388398396,271.3659711079083,271.63571707998517,272.53764332625946,274.1168998826983,-420056.2750929368,86349.01178167594,10155507.913338246,263.15367320272253,0.002036725605250116,-0.47273920681396836,-0.6969404222058251,277.9620211588013,0.035141997039318085,8.152563694036672e-05,0.7820058398776588,0.02150683932834201,282.74718505144125,281.80067130592147,278.97434719403594,274.3600801428158,-4788698.291666667,87206.4554172092,13731440.470662436,281.00329456064446,0.003736351886340916,-0.03637602304418883,0.07629846988452803
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,85.0,55.7507,160.2896,207,272,92,256.0885777895768,0.895961344242096,0.000248385530307097,0.8146412932162509,0.9317906083308172,271.46660749463064,271.75198389750545,272.65657138363747,274.4254550104557,-123740.34782608696,86197.49494106033,7834344.214221015,259.8916984748531,0.002024137642475013,-0.70059478033376,-0.762436746399184,259.499256503348,0.827528178691864,0.00022785992398127614,0.7775567501199014,0.7918802897135413,272.01997759996686,272.2329948322447,272.9779262449228,274.51503549136356,-530649.3308823529,86390.82073077033,9816249.853084732,263.19339859485626,0.002035437508797866,-0.5414857963720958,-0.6678091192654536,278.9317859152089,0.027623025700449944,8.176589735608168e-05,0.8081537355547368,0.0003547115602355073,283.6875856510107,282.69603206800383,279.67590875902044,274.472812583481,-4903769.978260869,87278.17310277965,13083043.782608695,281.50614353539294,0.0038994116647647313,0.01282600648161296,-0.020353059837783592
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,90.0,55.7507,160.2896,202,272,92,254.72387007911595,0.9223246574401855,0.0002464923958475441,0.8130531155630311,1.30448868251083,271.48544662463013,271.85026962607617,272.9929067215117,275.02802033628956,-128800.34653465346,86423.19132889848,8098505.981494865,259.0796814846127,0.0018456932415030955,-0.7754955215029204,-0.7463329668485684,258.97015567854334,0.8301116824150085,0.0002266982223327254,0.7702673661942578,1.1245102227902886,272.2274082665348,272.5085067865895,273.43641188565414,275.16186595898034,-518932.7794117647,86622.6489742504,10469245.510439705,263.16945363960997,0.001830915282603968,-0.614499830586069,-0.6484056316754397,278.71855133858276,0.022234709933400154,6.728102385565855e-05,0.8184576509655387,0.0158333156419837,285.03689656050295,283.94674256228024,280.7316133734109,275.2611631310504,-6374796.695652174,87435.3966205984,17105259.29245924,282.9188880782197,0.0034279002553497468,0.21078497430552615,-0.24495349414106726
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,93.0,55.7507,160.2896,206,274,90,254.97451962467937,0.9180689454078674,0.00024944515507005163,0.8217699433221791,1.2844659009026091,271.6408446629842,271.9639922762382,272.96925577762426,274.7293641266313,-154289.8058252427,86120.191135246,7930602.832147394,259.013020944441,0.0022523479085829984,-0.7513256574525803,-0.7531249004274512,258.65107708255744,0.8513235449790955,0.0002356821585020589,0.7911907467818902,1.1485025447650548,272.10194643860626,272.3940330978729,273.29179021041773,274.8204640808479,-471045.90510948905,86271.00586650323,10121691.508883288,262.4159811999096,0.0023463316316102508,-0.5711693482387384,-0.6396100465978726,280.60378471657083,0.06960821896791458,9.872691222914944e-05,0.783162827403457,0.059659830729166675,284.00079371840854,282.87410230989803,279.65171108952285,274.61056127901435,-4746572.288888888,87315.92338324653,13934687.364583334,283.27525501251216,0.00423936663754129,0.14356579250759555,0.03747039503521389
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2011,80.0,55.76524,160.3206,209,269,96,255.97807505180216,0.9923377633094788,0.00021216322621850494,0.819297564371922,1.1009760952452157,270.79281592178955,271.11451647878647,272.1658426068806,273.9995162969951,-132382.88038277513,86110.39625931397,8223663.373338909,260.0937266372606,0.0021403578454286445,-0.6222445253740276,-0.8492815646638525,259.2670341382979,0.9033774733543396,0.00020237591999318667,0.7764669014914185,0.9766030388398396,271.3659711079083,271.63571707998517,272.53764332625946,274.1168998826983,-420056.2750929368,86349.01178167594,10155507.913338246,263.15367320272253,0.002036725605250116,-0.47273920681396836,-0.6969404222058251,277.9620211588013,0.035141997039318085,8.152563694036672e-05,0.7820058398776588,0.02150683932834201,282.74718505144125,281.80067130592147,278.97434719403594,274.3600801428158,-4788698.291666667,87206.4554172092,13731440.470662436,281.00329456064446,0.003736351886340916,-0.03637602304418883,0.07629846988452803
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2012,84.0,55.7507,160.2896,179,270,95,254.4182223634347,0.939763605594635,0.00024596699539509574,0.8061728467488422,1.2043000120024439,271.23874591848704,271.5927051920686,272.71063830555033,274.6901677982322,-62915.1061452514,86348.60843844568,6774753.418155606,258.42688625484874,0.0021585610856371526,-0.9155164455346336,-0.7598340775491582,259.49298519322895,0.8185856938362122,0.00021713695224420508,0.7579569255864183,0.9616626880787037,271.89469476393737,272.1595612820283,273.0658511738719,274.8631126592189,-519101.01481481484,86740.8589891975,10163449.693844944,263.4729124752094,0.0021866622970337897,-0.6115618008154413,-0.6707875690342467,279.43290082697285,0.009236948564648628,6.567370473292832e-05,0.8164501748586955,0.0032449287280701756,285.6407899421559,284.5173422027052,281.16867591456355,275.3028690806606,-6057511.178947369,87550.99425198742,16606015.031578947,283.5903188738906,0.0032571552791485054,0.3836616976219312,-0.02264749292741742
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,61.0,55.7507,160.2896,196,264,100,254.50130751019432,0.971863865852356,0.0002476213259153625,0.8234480680251608,1.126883993343431,271.46351789617233,271.80698025632086,272.912218680998,274.89519565932596,-73142.98979591837,86359.28726549212,8284118.969088808,258.6700195649854,0.0021223787809081475,-0.7242174134367985,-0.7924287605042357,258.53760578174786,0.8832406997680664,0.00022855410916787193,0.7768633901470844,0.9463151103318338,272.1306236873972,272.38647125465707,273.28916393386,275.133973605705,-436263.6287878788,86629.40269948018,10302634.184718277,262.5262454736113,0.0020496393843601316,-0.5794898811915906,-0.694919421817317,278.990252602895,0.036891430616378784,7.156323641538619e-05,0.8319152617454528,0.0003222656249999999,284.98678910573324,284.03385640462227,281.1872813097636,276.0020750363667,-5929888.96,87288.53435221357,15443648.7,282.6232063547771,0.003971261084868906,0.2094056967894236,0.0038878281911214254
